domain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset,maintenance_plan,maintenance_plan,Maintenance Plan,STRING,,,,,master_data,Identifier for the preventive maintenance plan or schedule assigned to the asset in SAP PM.,SAP PM Maintenance Planning
asset,asset,manufacturer,manufacturer,Manufacturer Name,STRING,,,,,master_data,Name of the company that manufactured or produced the asset.,ISO 9001
asset,asset,model_number,model_number,Model Number,STRING,,,,,master_data,Manufacturer-assigned model number or designation for the asset.,ISO 9001
asset,asset,modified_date,modified_date,Record Modified Date,DATE,,,,,master_data,Date when the asset master record was last modified or updated.,SAP PM Asset Master
asset,asset,net_book_value,net_book_value,Net Book Value,"DECIMAL(15,2)",,,confidential,,master_data,"Current book value of the asset calculated as acquisition cost minus accumulated depreciation, in US dollars.",GASB 34
asset,asset,next_inspection_date,next_inspection_date,Next Scheduled Inspection Date,DATE,,,,,master_data,Date when the next required inspection is due for the asset per regulatory or policy requirements.,NBIS
asset,asset,next_maintenance_date,next_maintenance_date,Next Scheduled Maintenance Date,DATE,,,,,master_data,Date when the next scheduled preventive maintenance is due for the asset.,SAP PM Maintenance Planning
asset,asset,number,number,Asset Number,STRING,,,,,master_data,Business-assigned unique asset number used for tracking and identification in SAP PM and ATLAS systems.,SAP PM Asset Master
asset,asset,odometer_reading,odometer_reading,Odometer Reading,"DECIMAL(12,2)",,,,,master_data,"Current odometer reading for vehicle assets, measured in miles.",NCDOT Fleet Management
asset,asset,ownership_type,ownership_type,Ownership Type,STRING,,,,owned|leased|rented|loaned|donated|shared,master_data,Type of ownership or control NCDOT has over the asset.,GASB 34
asset,asset,purchase_order_number,purchase_order_number,Purchase Order Number,STRING,,,,,master_data,SAP purchase order number used to acquire the asset.,SAP MM Purchase Order
asset,asset,replacement_cost,replacement_cost,Replacement Cost,"DECIMAL(15,2)",,,confidential,,master_data,"Estimated current cost to replace the asset with a similar new asset, in US dollars.",GASB 34
asset,asset,responsible_organization,responsible_organization,Responsible Organization,STRING,,,,,master_data,Organizational unit or department within NCDOT responsible for managing and maintaining the asset.,SAP PM Organization Structure
asset,asset,rfid_tag,rfid_tag,Radio Frequency Identification (RFID) Tag,STRING,,,,,master_data,RFID tag identifier for automated tracking and location monitoring of mobile assets.,ISO 18000
asset,asset,risk_score,risk_score,Risk Score,"DECIMAL(5,2)",,,,,master_data,"Calculated risk score for the asset based on probability of failure and consequence of failure, used for prioritization.",ISO 31000
asset,asset,safety_certification,safety_certification,Safety Certification,STRING,,,,,master_data,"Safety certification or compliance standard met by the asset, such as OSHA, FMCSA, or MUTCD standards.",OSHA
asset,asset,safety_certification_date,safety_certification_date,Safety Certification Date,DATE,,,,,master_data,Date when the asset received its current safety certification.,OSHA
asset,asset,salvage_value,salvage_value,Salvage Value,"DECIMAL(15,2)",,,confidential,,master_data,"Estimated residual value of the asset at the end of its useful life, in US dollars.",GASB 34
asset,asset,serial_number,serial_number,Serial Number,STRING,,,,,master_data,Unique serial number assigned by the manufacturer for individual asset identification.,ISO 9001
asset,asset,short_description,short_description,Asset Short Description,STRING,,,,,master_data,Abbreviated description of the asset for display in lists and reports.,SAP PM Asset Master
asset,asset,status,status,Asset Status,STRING,,,,active|inactive|in_service|out_of_service|under_maintenance|retired|disposed|surplus|reserved|pending_activation,master_data,Current operational and lifecycle status of the asset.,GASB 34
asset,asset,tag,tag,Asset Tag Number,STRING,,,,,master_data,Physical tag or barcode number affixed to the asset for inventory control and field identification.,NCDOT Asset Management Policy
asset,asset,title_holder,title_holder,Title Holder,STRING,,,,,master_data,"Legal entity holding title to the asset, typically NCDOT or the State of North Carolina.",NCGS Chapter 20
asset,asset,title_number,title_number,Title Number,STRING,,,,,master_data,Official title or deed number for assets requiring legal title documentation such as vehicles and real property.,NCGS Chapter 20
asset,asset,vendor_name,vendor_name,Vendor Name,STRING,,,,,master_data,Name of the vendor or supplier from whom the asset was purchased or who provides maintenance services.,SAP MM Vendor Master
asset,asset,vin,vin,Vehicle Identification Number (VIN),STRING,,,,^[A-HJ-NPR-Z0-9]{17}$,master_data,17-character unique identifier for vehicles as defined by ISO 3779 and used by NCDOT fleet management.,49 CFR Part 565
asset,asset,warranty_end_date,warranty_end_date,Warranty End Date,DATE,,,,,master_data,Date when the manufacturer or vendor warranty coverage expires for the asset.,UCC Article 2
asset,asset,warranty_start_date,warranty_start_date,Warranty Start Date,DATE,,,,,master_data,Date when the manufacturer or vendor warranty coverage begins for the asset.,UCC Article 2
asset,asset,warranty_type,warranty_type,Warranty Type,STRING,,,,manufacturer|extended|service_contract|none,master_data,Type of warranty coverage in effect for the asset.,UCC Article 2
asset,asset,wbs_element,wbs_element,Work Breakdown Structure (WBS) Element,STRING,,,,,master_data,SAP Project System WBS element associated with the asset for project-based cost tracking and capital project management.,SAP PS
asset,asset,weight_pounds,weight_pounds,Weight in Pounds,"DECIMAL(12,2)",,,,,master_data,"Total weight of the asset, measured in pounds.",AASHTO
asset,condition,condition_id,condition_id,Condition Identifier,BIGINT,Y,,,,reference_data,Unique identifier for the asset condition rating record. Primary key for the condition data product.,NCDOT Data Standards
asset,condition,action_required,action_required,Required Action Type,STRING,,,,immediate|urgent|planned|routine|monitor|none,reference_data,Type of maintenance or management action typically required when an asset is rated at this condition level.,NCDOT Maintenance Management Standards
asset,condition,action_timeframe_days,action_timeframe_days,Action Timeframe in Days,INT,,,,,reference_data,Recommended timeframe in days within which maintenance action should be taken for assets at this condition level.,NCDOT Maintenance Management Standards
asset,condition,category,category,Asset Category,STRING,,,,pavement|bridge|structure|facility|equipment|vehicle|sign|signal|guardrail|drainage|other,reference_data,"The category of asset to which this condition rating applies (e.g., pavement, bridge, structure, facility, equipment, vehicle).",AASHTO Asset Management Standards
asset,condition,code,code,Condition Code,STRING,,,,"^[A-Z0-9_]{1,10}$",reference_data,"Standardized code representing the condition rating level (e.g., EXC, GOOD, FAIR, POOR, FAIL). Used across asset management systems for consistent condition classification.",AASHTO Asset Management Standards
asset,condition,color_code,color_code,Display Color Code,STRING,,,,^#[0-9A-Fa-f]{6}$,reference_data,"Hexadecimal color code used for visual representation of this condition rating in dashboards, maps, and reports (e.g., #00FF00 for green/good condition).",NCDOT GIS Standards
asset,condition,depreciation_rate_annual,depreciation_rate_annual,Annual Depreciation Rate,"DECIMAL(5,4)",,,,,reference_data,Annual depreciation rate (as decimal) typically applied to assets at this condition level for financial accounting purposes.,GASB Statement 34
asset,condition,description,description,Condition Description,STRING,,,,,reference_data,"Detailed description of what the condition rating represents, including criteria and characteristics that define this condition level.",NCDOT Asset Management Guidelines
asset,condition,effective_date,effective_date,Effective Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,reference_data,Date on which this condition rating definition became effective and available for use in asset assessments.,NCDOT Data Standards
asset,condition,estimated_remaining_life_years,estimated_remaining_life_years,Estimated Remaining Service Life in Years,INT,,,,,reference_data,"Typical estimated remaining service life in years for assets at this condition level, used for lifecycle planning and replacement forecasting.",AASHTO Asset Management Standards
asset,condition,expiration_date,expiration_date,Expiration Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,reference_data,Date on which this condition rating definition expires or was superseded by a new definition. Null if currently active.,NCDOT Data Standards
asset,condition,federal_reporting_code,federal_reporting_code,Federal Reporting Code,STRING,,,,,reference_data,"Standardized code used for federal reporting to FHWA, FTA, or other federal agencies. Maps internal condition ratings to federal reporting requirements.",FHWA Highway Performance Monitoring System
asset,condition,funding_priority,funding_priority,Funding Priority Level,INT,,,,,reference_data,Priority level (1-10) for funding allocation to assets at this condition level. Lower numbers indicate higher priority for capital investment.,NCDOT Capital Planning Guidelines
asset,condition,gasb_34_category,gasb_34_category,Governmental Accounting Standards Board (GASB) 34 Category,STRING,,,,excellent|good|fair|poor|critical,reference_data,GASB 34 condition category for infrastructure asset reporting. Used for financial reporting of capital assets under modified approach.,GASB Statement 34
asset,condition,hpms_condition_type,hpms_condition_type,Highway Performance Monitoring System (HPMS) Condition Type,STRING,,,,good|fair|poor,reference_data,"HPMS condition classification (Good, Fair, Poor) used for federal reporting. Required for National Highway System reporting to FHWA.",FHWA Highway Performance Monitoring System Field Manual
asset,condition,icon_name,icon_name,Display Icon Name,STRING,,,,,reference_data,Name or identifier of the icon used to represent this condition rating in user interfaces and mapping applications.,NCDOT GIS Standards
asset,condition,iri_max,iri_max,International Roughness Index (IRI) Maximum,"DECIMAL(6,2)",,,,,reference_data,Maximum International Roughness Index value (inches per mile) associated with this pavement condition rating. IRI measures pavement surface roughness and ride quality.,FHWA Highway Performance Monitoring System
asset,condition,iri_min,iri_min,International Roughness Index (IRI) Minimum,"DECIMAL(6,2)",,,,,reference_data,Minimum International Roughness Index value (inches per mile) associated with this pavement condition rating. IRI measures pavement surface roughness and ride quality.,FHWA Highway Performance Monitoring System
asset,condition,is_active,is_active,Active Status Indicator,BOOLEAN,,,,true|false,reference_data,Indicates whether this condition rating is currently active and available for use in asset assessments. Inactive ratings are retained for historical reference.,NCDOT Data Standards
asset,condition,is_default,is_default,Default Rating Indicator,BOOLEAN,,,,true|false,reference_data,Indicates whether this is the default condition rating to be applied when no specific assessment has been performed.,NCDOT Asset Management Guidelines
asset,condition,maintenance_cost_factor,maintenance_cost_factor,Maintenance Cost Factor,"DECIMAL(5,2)",,,,,reference_data,Multiplier factor representing the relative maintenance cost for assets at this condition level compared to baseline. Used for budget forecasting.,NCDOT Financial Planning Standards
asset,condition,name,name,Condition Name,STRING,,,,,reference_data,"Human-readable name of the condition rating (e.g., Excellent, Good, Fair, Poor, Failed).",NCDOT Asset Management Guidelines
asset,condition,nbi_rating,nbi_rating,National Bridge Inventory (NBI) Rating,STRING,,,,^[0-9N]{1}$,reference_data,National Bridge Inventory condition rating code (0-9 or N) for bridge components. Used for federal bridge condition reporting.,FHWA Recording and Coding Guide for the Structure Inventory and Appraisal of the Nations Bridges
asset,condition,numeric_rating,numeric_rating,Numeric Condition Rating,"DECIMAL(5,2)",,,,,reference_data,Numeric representation of the condition rating on a standardized scale. Enables quantitative analysis and trending of asset condition over time.,AASHTO Asset Management Standards
asset,condition,pci_max,pci_max,Pavement Condition Index (PCI) Maximum,"DECIMAL(5,2)",,,,,reference_data,Maximum Pavement Condition Index value (0-100 scale) associated with this pavement condition rating. PCI is a numerical rating of pavement surface surface condition.,ASTM D6433 Standard Practice for Roads and Parking Lots Pavement Condition Index Surveys
asset,condition,pci_min,pci_min,Pavement Condition Index (PCI) Minimum,"DECIMAL(5,2)",,,,,reference_data,Minimum Pavement Condition Index value (0-100 scale) associated with this pavement condition rating. PCI is a numerical rating of pavement surface condition.,ASTM D6433 Standard Practice for Roads and Parking Lots Pavement Condition Index Surveys
asset,condition,psi_max,psi_max,Present Serviceability Index (PSI) Maximum,"DECIMAL(4,2)",,,,,reference_data,Maximum Present Serviceability Index value (0-5 scale) associated with this pavement condition rating. PSI measures the ability of pavement to serve traffic.,AASHTO Guide for Design of Pavement Structures
asset,condition,psi_min,psi_min,Present Serviceability Index (PSI) Minimum,"DECIMAL(4,2)",,,,,reference_data,Minimum Present Serviceability Index value (0-5 scale) associated with this pavement condition rating. PSI measures the ability of pavement to serve traffic.,AASHTO Guide for Design of Pavement Structures
asset,condition,public_notification_required,public_notification_required,Public Notification Required Indicator,BOOLEAN,,,,true|false,reference_data,"Indicates whether assets at this condition level require public notification or posting of warnings (e.g., bridge weight restrictions, road condition advisories).",NCGS Chapter 136
asset,condition,rating_scale_max,rating_scale_max,Rating Scale Maximum Value,"DECIMAL(5,2)",,,,,reference_data,"Maximum value of the rating scale used for this condition type (e.g., 100 for a 0-100 scale, 10 for a 1-10 scale).",AASHTO Asset Management Standards
asset,condition,rating_scale_min,rating_scale_min,Rating Scale Minimum Value,"DECIMAL(5,2)",,,,,reference_data,"Minimum value of the rating scale used for this condition type (e.g., 0 for a 0-100 scale, 1 for a 1-10 scale).",AASHTO Asset Management Standards
asset,condition,replacement_threshold,replacement_threshold,Replacement Threshold Indicator,BOOLEAN,,,,true|false,reference_data,Indicates whether this condition level represents the threshold at which asset replacement should be considered rather than continued maintenance.,NCDOT Asset Management Guidelines
asset,condition,requires_inspection,requires_inspection,Inspection Required Indicator,BOOLEAN,,,,true|false,reference_data,Indicates whether assets at this condition level require formal inspection or assessment by qualified personnel.,NCDOT Maintenance Management Standards
asset,condition,safety_concern,safety_concern,Safety Concern Indicator,BOOLEAN,,,,true|false,reference_data,Indicates whether this condition level represents a safety concern requiring immediate attention or public notification.,NCDOT Safety Management Standards
asset,condition,severity_level,severity_level,Severity Level,STRING,,,,critical|high|medium|low|minimal,reference_data,Severity classification indicating the urgency of maintenance or replacement needs associated with this condition rating.,AASHTO Asset Management Standards
asset,condition,sort_order,sort_order,Display Sort Order,INT,,,,,reference_data,"Numeric value used to control the display order of condition ratings in user interfaces, reports, and dropdown lists. Lower values appear first.",NCDOT Data Standards
asset,condition,source_system,source_system,Source System,STRING,,,,SAP_PM|ATLAS|AGILE_ASSETS|BMS|PMS|MANUAL|OTHER,reference_data,"System of record where this condition rating is defined and maintained (e.g., SAP PM, ATLAS, Agile Assets, Bridge Management System, Pavement Management System).",NCDOT Enterprise Architecture Standards
asset,condition,source_system_id,source_system_id,Source System Identifier,STRING,,,,,reference_data,Unique identifier for this condition rating in the source system of record. Used for data lineage and reconciliation.,NCDOT Data Integration Standards
asset,condition,sufficiency_rating_max,sufficiency_rating_max,Bridge Sufficiency Rating Maximum,"DECIMAL(5,2)",,,,,reference_data,Maximum bridge sufficiency rating (0-100 scale) associated with this condition level. Sufficiency rating evaluates bridge adequacy and safety.,FHWA Recording and Coding Guide for the Structure Inventory and Appraisal of the Nations Bridges
asset,condition,sufficiency_rating_min,sufficiency_rating_min,Bridge Sufficiency Rating Minimum,"DECIMAL(5,2)",,,,,reference_data,Minimum bridge sufficiency rating (0-100 scale) associated with this condition level. Sufficiency rating evaluates bridge adequacy and safety.,FHWA Recording and Coding Guide for the Structure Inventory and Appraisal of the Nations Bridges
asset,condition,threshold_lower,threshold_lower,Lower Threshold Value,"DECIMAL(5,2)",,,,,reference_data,Lower boundary threshold value that defines the minimum numeric rating for this condition level. Assets with ratings at or above this value fall into this condition category.,NCDOT Asset Management Guidelines
asset,condition,threshold_upper,threshold_upper,Upper Threshold Value,"DECIMAL(5,2)",,,,,reference_data,Upper boundary threshold value that defines the maximum numeric rating for this condition level. Assets with ratings below or at this value fall into this condition category.,NCDOT Asset Management Guidelines
asset,condition,triggers_work_order,triggers_work_order,Work Order Trigger Indicator,BOOLEAN,,,,true|false,reference_data,Indicates whether assignment of this condition rating automatically triggers creation of a maintenance work order in SAP PM or ATLAS.,SAP PM Configuration Standards
asset,condition,version_number,version_number,Version Number,STRING,,,,^[0-9]+\.[0-9]+$,reference_data,"Version number of the condition rating definition, used to track changes to rating criteria and thresholds over time.",NCDOT Data Standards
asset,depreciation,depreciation_id,depreciation_id,Depreciation Entry Identifier,BIGINT,Y,,,,transactional_data,Unique identifier for each depreciation entry record in the asset management system.,GASB 34
asset,depreciation,asset_id,asset_id,Asset Identifier,BIGINT,,asset.asset.asset_id,,,transactional_data,"Unique identifier of the capital asset being depreciated, linking to the asset master record in SAP PM or ATLAS.",GASB 34
asset,depreciation,general_ledger_id,general_ledger_id,General Ledger Id (Foreign Key),BIGINT,,finance.general_ledger.general_ledger_id,,,transactional_data,Foreign key linking to finance.general_ledger. Business justification: Asset depreciation entries must post to general ledger accounts for financial reporting. Accounting department records monthly depreciation expense to comply with GASB standards and maintain accurate ,Internal - LLM Generated Cross-Domain Link
asset,depreciation,original_entry_id,original_entry_id,Original Entry Identifier,BIGINT,,asset.depreciation.depreciation_id,,,transactional_data,Reference to the original depreciation entry identifier if this entry is a reversal or adjustment.,SAP FI-AA
asset,depreciation,type_id,type_id,Type Id (Foreign Key),BIGINT,,asset.type.type_id,,,transactional_data,Foreign key linking to asset.type. Business justification: Depreciation entries should reference asset type to validate that the depreciation method and useful life match the type's defined depreciation_method and useful_life_years. Ensures consistency in dep,Internal - LLM Generated Cross-Domain Link
asset,depreciation,accumulated_depreciation,accumulated_depreciation,Accumulated Depreciation,"DECIMAL(18,2)",,,,,transactional_data,"The total cumulative depreciation recorded for the asset from acquisition date through the current period, in US dollars.",GASB 34
asset,depreciation,accumulated_depreciation_account,accumulated_depreciation_account,Accumulated Depreciation General Ledger (GL) Account,STRING,,,,,transactional_data,The general ledger account number for the contra-asset account that tracks accumulated depreciation.,SAP FI-CO
asset,depreciation,acquisition_date,acquisition_date,Asset Acquisition Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,transactional_data,"The date when the asset was acquired or placed into service, marking the start of depreciation.",GASB 34
asset,depreciation,adjustment_indicator,adjustment_indicator,Adjustment Indicator,BOOLEAN,,,,true|false,transactional_data,Boolean flag indicating whether this depreciation entry is an adjustment or correction to a previously posted entry.,SAP FI-AA
asset,depreciation,adjustment_reason,adjustment_reason,Adjustment Reason,STRING,,,,,transactional_data,Explanation or reason code for depreciation adjustments or corrections.,SAP FI-AA
asset,depreciation,amount,amount,Depreciation Amount,"DECIMAL(18,2)",,,,,transactional_data,"The monetary value of depreciation expense recorded for the asset in the current period, in US dollars.",GASB 34
asset,depreciation,appraised_value,appraised_value,Appraised Value,"DECIMAL(18,2)",,,,,transactional_data,The most recent appraised fair market value of the asset in US dollars.,GASB 34
asset,depreciation,area,area,Depreciation Area,STRING,,,,,transactional_data,"SAP depreciation area code indicating the accounting principle or valuation view (e.g., book depreciation, tax depreciation).",SAP FI-AA
asset,depreciation,book_value,book_value,Net Book Value (NBV),"DECIMAL(18,2)",,,,,transactional_data,"The current net book value of the asset calculated as original cost minus accumulated depreciation, in US dollars.",GASB 34
asset,depreciation,capitalization_date,capitalization_date,Capitalization Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,transactional_data,The date when the asset was capitalized and added to the fixed asset register.,GASB 34
asset,depreciation,company_code,company_code,Company Code,STRING,,,,,transactional_data,SAP company code representing the legal entity or organizational unit responsible for the asset.,SAP FI-CO
asset,depreciation,cost_center,cost_center,Cost Center,STRING,,,,,transactional_data,The cost center or organizational unit to which the depreciation expense is charged.,SAP FI-CO
asset,depreciation,county_code,county_code,County Code,STRING,,,,,transactional_data,"The North Carolina county code where the asset is physically located, used for geographic reporting.",NCGS
asset,depreciation,currency_code,currency_code,Currency Code,STRING,,,,^[A-Z]{3}$,transactional_data,The ISO 4217 three-letter currency code for the depreciation amounts (typically USD for NCDOT).,ISO 4217
asset,depreciation,date,date,Depreciation Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,transactional_data,"The effective date for which the depreciation calculation applies, typically the last day of the fiscal period.",GASB 34
asset,depreciation,disposal_method,disposal_method,Disposal Method,STRING,,,,sale|trade_in|donation|scrap|auction|transfer|demolition,transactional_data,The method used to dispose of the asset when retired from service.,GASB 34
asset,depreciation,disposal_proceeds,disposal_proceeds,Disposal Proceeds,"DECIMAL(18,2)",,,,,transactional_data,"The monetary proceeds received from disposal or sale of the asset, in US dollars.",GASB 34
asset,depreciation,district_number,district_number,Highway District Number,INT,,,,^([1-9]|1[0-4])$,transactional_data,"The NCDOT highway district number (1-14) responsible for the asset, applicable to highway and transportation infrastructure assets.",NCDOT District Organization
asset,depreciation,division_code,division_code,Division Code,STRING,,,,DOH|DMV|DCH|ITD|FERRY|AVIATION|RAIL|PUBLIC_TRANSIT,transactional_data,"The NCDOT division code indicating which organizational division owns or operates the asset (e.g., DOH for Division of Highways, DMV for Division of Motor Vehicles).",NCDOT Organization Structure
asset,depreciation,document_number,document_number,Financial Document Number,STRING,,,,,transactional_data,The SAP financial document number generated when the depreciation entry was posted to the general ledger.,SAP FI-CO
asset,depreciation,document_type,document_type,Document Type,STRING,,,,,transactional_data,"The SAP document type code indicating the category of financial transaction (e.g., AF for asset posting).",SAP FI-CO
asset,depreciation,end_date,end_date,Depreciation End Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,transactional_data,The projected or actual date when depreciation will end or ended for the asset.,GASB 34
asset,depreciation,exchange_rate,exchange_rate,Exchange Rate,"DECIMAL(12,6)",,,,,transactional_data,The currency exchange rate applied if the asset was acquired in a foreign currency.,SAP FI-CO
